,Feature Type,Eval AUC,Eval Prec,Eval Acc
0,All features,76.55999999999999,2.3800000000000003,91.67999999999999
1,Pearson features,66.42,3.45,96.50999999999999
2,Spearman features,70.71,1.27,85.85000000000001
