,model,best_score,parameters
0,svr,1794.0,"{'mds_recall_warning_threshold': 62760, 'mds_dir_max_commit_size': 30, 'mds_recall_max_caps': 5762, 'mds_session_cache_liveness_magnitude': 14, 'bluestore_fsck_read_bytes_cap': 87104542, 'osd_tier_default_cache_hit_set_count': 7, 'osd_target_transaction_size': 44, 'mds_min_caps_per_client': 488, 'rbd_readahead_max_bytes': 524385, 'client_oc_max_dirty': 104857600, 'mds_cache_reservation': 0.916517621172548}"
1,lr,343.0,"{'mds_recall_warning_threshold': 79291, 'mds_dir_max_commit_size': 30, 'mds_recall_max_caps': 7177, 'mds_session_cache_liveness_magnitude': 18, 'bluestore_fsck_read_bytes_cap': 87107495, 'osd_tier_default_cache_hit_set_count': 8, 'osd_target_transaction_size': 50, 'mds_min_caps_per_client': 489, 'rbd_readahead_max_bytes': 547733, 'client_oc_max_dirty': 104857600, 'mds_cache_reservation': 0.9823352372261821}"
2,rr,345.0,"{'mds_recall_warning_threshold': 46919, 'mds_dir_max_commit_size': 16, 'mds_recall_max_caps': 7934, 'mds_session_cache_liveness_magnitude': 11, 'bluestore_fsck_read_bytes_cap': 79645685, 'osd_tier_default_cache_hit_set_count': 4, 'osd_target_transaction_size': 43, 'mds_min_caps_per_client': 228, 'rbd_readahead_max_bytes': 1176705, 'client_oc_max_dirty': 104857600, 'mds_cache_reservation': 0.6150860681226277}"
3,mlp,368.0,"{'mds_recall_warning_threshold': 76544, 'mds_dir_max_commit_size': 29, 'mds_recall_max_caps': 7585, 'mds_session_cache_liveness_magnitude': 20, 'bluestore_fsck_read_bytes_cap': 86763436, 'osd_tier_default_cache_hit_set_count': 8, 'osd_target_transaction_size': 50, 'mds_min_caps_per_client': 262, 'rbd_readahead_max_bytes': 525353, 'client_oc_max_dirty': 104857600, 'mds_cache_reservation': 0.8113542780991982}"
4,xgb,349.0,"{'mds_recall_warning_threshold': 82981, 'mds_dir_max_commit_size': 26, 'mds_recall_max_caps': 7740, 'mds_session_cache_liveness_magnitude': 11, 'bluestore_fsck_read_bytes_cap': 67377170, 'osd_tier_default_cache_hit_set_count': 4, 'osd_target_transaction_size': 34, 'mds_min_caps_per_client': 154, 'rbd_readahead_max_bytes': 1219670, 'client_oc_max_dirty': 104857600, 'mds_cache_reservation': 0.37326569856161484}"
5,gb,346.0,"{'mds_recall_warning_threshold': 78260, 'mds_dir_max_commit_size': 11, 'mds_recall_max_caps': 6344, 'mds_session_cache_liveness_magnitude': 19, 'bluestore_fsck_read_bytes_cap': 77245327, 'osd_tier_default_cache_hit_set_count': 7, 'osd_target_transaction_size': 41, 'mds_min_caps_per_client': 339, 'rbd_readahead_max_bytes': 1234298, 'client_oc_max_dirty': 104857600, 'mds_cache_reservation': 0.8218405724116055}"
